Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Binghamton,23.7,0.339,23,0.384,55.1,0.484,59.5,0.49,14.5,15.2,13.5,15,0.635,12.4,11.2,67.7,6.1,10.1,22.2,26.1,0.258,0.667,-5.8
Boise State,21.8,0.352,21.7,0.342,54.5,0.547,53.5,0.521,17.4,16.7,17.3,18,0.727,11.6,12.3,68.3,6.1,5.9,21.8,22.3,0.375,0.111,2.1
Boston Col,22.2,0.317,24.8,0.32,58.3,0.491,61.3,0.488,16.4,17.9,20.4,18,0.698,12.2,11.6,71.1,9.1,10.4,24.7,24.7,0.452,0.5,5.9
Boston U,19.1,0.342,21.9,0.347,57.8,0.545,54.8,0.564,17.7,16.4,14.3,17.8,0.684,12.8,12.4,69.6,7.5,6.5,21.7,22.4,0.438,0.333,-3.6
Bowling Grn,22.5,0.358,26.2,0.346,62.6,0.488,60.4,0.5,17.7,19.8,21.8,18.8,0.674,12.1,13,74.7,10.2,8,26.6,24.7,0.625,0.75,0.2
Bradley,18.8,0.37,21.3,0.328,53.3,0.465,54.1,0.465,17.7,18.7,19.3,19.3,0.691,12.4,12.2,67.3,7.9,7.8,23.5,23.1,0.559,0.583,0
Brown,23.1,0.338,24.3,0.3,56.5,0.502,59,0.5,19,20.4,20.8,18.4,0.721,14.8,15.2,74.1,7,8.8,25.6,24.5,0.6,0.583,-1.5
Bryant,23.6,0.325,21.7,0.388,56,0.493,56.8,0.528,19.2,19.1,20.6,20.1,0.712,12.8,12.9,70.7,7.9,8.6,20.7,24,0.333,0.375,-6
Bucknell,26.8,0.351,20.9,0.333,58.4,0.533,60.5,0.488,19,18.5,19.8,19.6,0.749,12.4,11.9,73.1,7.4,8.3,25.1,23.9,0.636,0.727,-1
Buffalo,28.8,0.337,21.9,0.293,65.2,0.557,60.8,0.493,18.5,19.6,21.3,19.4,0.684,11.9,15.2,76.2,11.1,9,26.7,25.3,0.886,0.667,4.2
Butler,25.1,0.353,21.3,0.357,58.6,0.514,54.1,0.522,18,16,14.8,19.6,0.738,10.9,12.8,69,7.2,7.5,22,24.1,0.485,0.333,7.6
BYU,21.4,0.33,21.9,0.366,58.7,0.547,59.8,0.483,19.6,20.6,23.4,21.2,0.727,11.1,12.8,74.1,7,8.3,25.4,25.3,0.594,0.5,4
Cal Baptist,25.1,0.348,18.1,0.355,58.6,0.504,59.1,0.469,21,18.3,19,23.4,0.775,12.6,10.6,71.8,8.4,9,24.3,23.7,0.444,0.364,-4.4
Cal Poly,23.9,0.32,19.2,0.365,59.4,0.466,57.8,0.515,18.9,16.9,15.3,22,0.645,11.6,10.7,69.9,8,9.4,21.6,26,0.148,0.333,-4.8
Cal St Nrdge,19.2,0.361,22.7,0.384,62.1,0.503,62.7,0.482,18.8,18.5,19.8,20.2,0.637,12.1,12.4,74.5,9,10.4,23.4,25.3,0.364,0.4,-3.2
California,19.1,0.35,23,0.381,56,0.465,55.1,0.567,18.5,17.7,19.5,19.9,0.723,11.4,14,70.4,6.7,7.7,19.8,25.3,0.258,0.5,3.3
Campbell,27.7,0.338,22.6,0.373,57.4,0.548,54,0.536,16.2,17.3,17.9,19.4,0.752,10,13.2,68.6,7.3,7.7,20.7,24.8,0.567,0.667,-4.1
Canisius,24.7,0.324,20.8,0.36,57.3,0.52,55.7,0.533,19.6,17.6,18,20.5,0.692,12.9,14.3,71,7.4,8.9,20.7,23.6,0.469,0.786,-2.9
Central Ark,24.5,0.353,24.3,0.353,57.7,0.463,60.5,0.512,18.5,18,19.7,20.7,0.728,14.2,13,73.3,7.5,10.4,23.1,26.1,0.367,0.571,-5.6
