Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Mercer,17.9,0.353,20.4,0.342,59.4,0.489,55.6,0.512,18.8,14.8,16.4,21.5,0.663,11.2,12.1,69.4,8.9,8.6,21.4,23.3,0.467,0.625,-3.6
Merrimack,23,0.313,17.6,0.315,54.3,0.525,56.3,0.457,16.5,16.9,19.2,18.4,0.73,13.1,16,70.3,6.2,10.6,21.8,24.3,0.633,0.625,-6.6
Miami (FL),24.6,0.366,28.7,0.332,60.9,0.518,62.4,0.517,13.2,15.1,15.4,14.1,0.748,12.3,11.7,72,8.3,8.9,25.4,23.5,0.484,0.286,7.1
Miami (OH),22.3,0.366,21.4,0.322,55.4,0.484,58.1,0.499,17.2,17.1,17.1,18.8,0.719,11.7,12.2,69.3,6.6,9.2,23,24.4,0.448,0.571,-3.7
Michigan,22.3,0.363,20.4,0.359,58.4,0.499,62.6,0.52,17,16.8,18.7,18.6,0.702,12.9,9.5,71.5,8.8,9.5,22.5,22.4,0.258,0.286,9.2
Michigan St,18.1,0.36,23.1,0.326,59,0.504,55.6,0.469,16.2,17.1,17.7,17.7,0.705,9.7,12.5,68.5,8.7,8.1,23.1,22.2,0.581,0.286,10.6
Middle Tenn,23.2,0.309,17.5,0.331,55.2,0.462,58.7,0.494,15.7,17.4,19.2,17.6,0.698,13.9,10.6,69.4,8.5,8.7,21.8,23.6,0.379,0.714,-2.3
Minnesota,22.4,0.358,17.8,0.359,56.8,0.545,59,0.481,16.3,17,20.2,17.5,0.696,12,10.9,70.1,8.2,8.3,23.5,21.2,0.581,0.571,6.3
Miss State,22.7,0.329,23.7,0.294,58.5,0.534,58.1,0.505,16.8,18.1,21.7,18.7,0.671,12.9,12.3,70.9,10.9,8.2,24.6,21.1,0.613,0.429,8.9
Miss Val St,15.8,0.292,20.1,0.37,52,0.419,55.2,0.556,17.7,16.7,17.2,22.9,0.658,15.9,11.4,67.8,8,9.8,18.6,23.5,0.032,0,-8.2
Mississippi,20.3,0.369,22.2,0.341,58.6,0.49,59.7,0.503,16,17.2,20.5,18.8,0.733,10.7,12.5,70.7,8.5,10.4,21.4,21.7,0.645,0.8,6.7
Missouri,22.9,0.323,22.4,0.341,57.4,0.519,56.9,0.515,20.4,17.3,18.5,24.4,0.791,11.5,12.9,70.6,7.4,10.4,20.3,23.7,0.258,0.167,6.4
Missouri St,21.5,0.314,24.3,0.33,58.5,0.512,62.6,0.47,15.3,16.6,18.4,15.6,0.711,12,9.1,70.8,9,8,27,22.7,0.515,0.444,0.6
Monmouth,22,0.347,25.1,0.34,60.5,0.478,58.2,0.493,16.9,15.8,17.7,19.4,0.715,10.5,12.1,69.5,9.8,10,22.8,23.5,0.546,0.625,-1.9
Montana,21.4,0.359,17.6,0.356,57.4,0.546,56.2,0.505,17,15.9,16.1,19.8,0.808,9.5,9.6,67.8,6.8,7.4,23.3,22.4,0.643,1,-3.2
*Montana St,23.1,0.361,19.7,0.319,56.3,0.525,56.3,0.546,19.3,17.6,17.5,21.5,0.729,11.9,13.1,71.2,5.7,8.1,22,24.8,0.429,0.364,-4.8
Morehead St,24.9,0.353,17.6,0.311,55.3,0.554,56.5,0.454,16.7,15.9,17.3,18.5,0.715,12.2,10.2,67.3,8.6,7.8,25,19.8,0.733,0,-4.2
Morgan St,16.1,0.284,19.6,0.351,59.2,0.491,60.4,0.518,19.9,16.1,18.3,24.7,0.76,14.5,13.1,73.8,8.7,11.3,21.1,23.3,0.296,0.5,-8.3
Mt St Marys,19.3,0.35,20.6,0.347,58,0.536,59,0.474,15.6,14.9,15.6,18.2,0.729,14.5,12.6,71.7,8.4,8.3,24.1,20.8,0.419,0.182,-4.7
Murray St,20.2,0.316,23.3,0.37,57.3,0.513,54.5,0.538,15.4,15.2,17,15.1,0.698,9.4,11.7,66.8,7.7,6.8,21.4,23.4,0.355,0.1,0.4
N Alabama,20.7,0.356,20.2,0.354,59.9,0.479,58.2,0.506,18.6,17.4,19.7,23.8,0.772,10.2,9.9,71.4,8,7.9,23.3,24.3,0.433,0.462,-3.8
N Arizona,20.1,0.312,19.7,0.32,57.1,0.507,57.8,0.554,18.3,17,17.8,21.6,0.696,12.6,11.6,71.1,7,8.7,21.5,24.1,0.424,0.778,-3.9
N Carolina,22.3,0.358,22.6,0.313,62.4,0.501,61.9,0.457,16.8,18.9,23.3,17.5,0.752,10.4,10.8,73.6,10.4,7.2,27.7,23.1,0.807,0.429,10.3
N Colorado,21.7,0.36,24.6,0.357,60.7,0.567,61.6,0.527,16.9,15.9,17,18.1,0.726,11.3,11.2,73.3,7,7.8,25.3,24.1,0.567,0.643,-4.3
N Dakota St,20.1,0.377,20.6,0.368,56,0.514,59.4,0.528,15.3,16.1,16.9,17,0.725,11.4,9,69,6.8,7.2,23.5,23.2,0.414,0.8,-3.9
N Florida,32,0.359,17.9,0.355,58.4,0.533,59.9,0.523,16.6,14.9,16.6,20.2,0.781,11.3,10,70.5,7,9.1,22.3,24.3,0.448,0.167,-4.5
N Hampshire,26.9,0.324,23.8,0.307,61.8,0.479,62.3,0.535,15.2,16.7,18.5,17.1,0.739,12.1,12.1,74.8,7.3,8.3,25.7,27.9,0.517,0.833,-3.6
N Illinois,22.4,0.327,21.9,0.367,57.5,0.502,61.1,0.518,17.3,18.5,20.8,21.2,0.682,12.7,10,71.9,8.3,9.1,23.1,23.3,0.31,0.667,-2.8
N Iowa,20.6,0.341,23,0.35,56,0.519,56.1,0.52,16.7,17.6,20.9,17.1,0.714,10.3,11.3,69.3,6.8,6.3,23.7,24.3,0.563,0.571,2.2
N Kentucky,18.5,0.321,24.3,0.314,55.9,0.527,57.6,0.549,15.5,17.1,20.2,15.8,0.718,12.4,14.2,69.8,8.1,9.5,21,21.5,0.533,0.455,-2.9
